key_resp.keys,key_resp.corr,tilt
down,1,1
down,1,-3
down,1,-5
down,1,2
up,1,0
up,1,0
up,0,-2
up,1,0
up,1,0
up,1,0
up,1,0
up,1,0
down,1,-2
down,1,3
down,0,0
up,1,0
up,1,0
up,0,1
down,1,-4
up,1,0
up,1,0
up,1,0
up,1,0
up,1,0
down,1,-4
up,1,0
down,0,0
up,0,3
down,1,3
down,1,-2
down,1,-3
up,1,0
down,1,3
up,1,0
down,1,3
down,1,4
down,1,-5
down,1,2
up,1,0
down,1,3
up,1,0
up,1,0
up,1,0
down,1,3
down,1,3
down,1,-3
down,1,-3
down,1,-4
up,1,0
up,1,0
up,1,0
down,1,-5
up,1,0
up,1,0
down,1,1
up,1,0
down,1,-5
down,1,-4
down,1,4
down,1,2
down,0,0
up,1,0
up,0,1
down,0,0
down,0,0
down,0,0
down,0,0
down,0,0
down,0,0
down,1,4
down,1,-2
down,1,2
down,0,0
down,0,0
down,1,1
down,1,-4
down,1,-5
down,0,0
down,1,1
down,0,0
down,1,-4
down,1,-4
up,1,0
up,1,0
down,1,-2
down,0,0
up,0,1
up,0,2
down,1,-3
up,1,0
down,1,-5
down,1,3
down,1,1
down,1,2
up,0,1
up,1,0
up,1,0
down,0,0
up,1,0
down,1,-5
